"TIME","SAIDA","STEP"
0.272804178,0.100856,1
0.2738847175,0.10478,1
0.2738872339,0.104789,1
0.2739664805,0.10508,1
0.2742118896,0.105982,1
0.2745192361,0.107108,1
0.2745269117,0.107136,1
0.2748441726,0.108301,1
0.2759246975,0.11234,1
0.2759272339,0.112349,1
0.2759655797,0.112494,1
0.276251895,0.113577,1
0.2765579568,0.11473,1
0.2765669116,0.114764,1
0.2768841672,0.115963,1
0.2779646875,0.120114,1
0.2779672339,0.120124,1
0.2779851289,0.120193,1
0.2782919002,0.121385,1
0.2785973171,0.122567,1
0.2786069114,0.122604,1
0.278924162,0.123836,1
0.2799066154,0.127711,1
0.280007234,0.128108,1
0.2800149034,0.128138,1
0.2803319054,0.129402,1
0.2806369973,0.130614,1
0.2806469112,0.130653,1
0.2809641569,0.131917,1
0.2812916362,0.133241,1
0.282047234,0.136297,1
0.2820497905,0.136308,1
0.2823719104,0.137623,1
0.2826768374,0.138865,1
0.2826869111,0.138906,1
0.2830041518,0.140201,1
0.2840872341,0.144688,1
0.2847167575,0.147317,1
0.2848804122,0.147999,1
0.2853716163,0.150062,1
0.2861259558,0.15327,1
0.2861297907,0.153286,1
0.2867567175,0.155964,1
0.2867568374,0.155964,1
0.2868385437,0.156313,1
0.2870841421,0.157363,1
0.2881653167,0.162047,1
0.2881672341,0.162055,1
0.2887966975,0.164803,1
0.2887967575,0.164803,1
0.28883761,0.164981,1
0.2889604074,0.165517,1
0.2894515972,0.167671,1
0.2902049971,0.171015,1
0.2902097908,0.171036,1
0.2908366875,0.17383,1
0.2908368374,0.173831,1
0.2908571435,0.173921,1
0.2911641327,0.175289,1
0.2922448373,0.180169,1
0.2922472342,0.18018,1
0.2925719342,0.181656,1
0.2928767575,0.183041,1
0.2928869103,0.183088,1
0.2930404028,0.183784,1
0.2935315789,0.186027,1
0.2942847574,0.189504,1
0.294289791,0.189528,1
0.2944483081,0.190262,1
0.2949168374,0.192433,1
0.2949217939,0.192456,1
0.2952441237,0.193949,1
0.2963247175,0.199018,1
0.2963272343,0.19903,1
0.2964064939,0.199404,1
0.2969567574,0.202001,1
0.2969592356,0.202012,1
0.2971203984,0.202772,1
0.2976115613,0.205099,1
0.2983646975,0.208705,1
0.2983697911,0.20873,1
0.2984055862,0.208902,1
0.2989968374,0.211742,1
0.2989979566,0.211747,1
0.2993241151,0.213313,1
0.3004046875,0.218563,1
0.3004072343,0.218576,1
0.3004251321,0.218663,1
0.3010367574,0.221652,1
0.301037317,0.221654,1
0.3012003942,0.22245,1
0.3016915443,0.224858,1
0.3023464112,0.228102,1
0.3024497912,0.228614,1
0.302454905,0.228639,1
0.3030768374,0.231728,1
0.3030769973,0.231729,1
0.3034041068,0.233353,1
0.3037315362,0.234996,1
0.3044872344,0.23879,1
0.3044897913,0.238803,1
0.3051167574,0.241966,1
0.3051168374,0.241967,1
0.3052803902,0.24279,1
0.3054441028,0.243619,1
0.3057715281,0.245277,1
0.3065272344,0.249139,1
0.3065297914,0.249152,1
0.3071567574,0.252364,1
0.3071568374,0.252364,1
0.3073203882,0.253202,1
0.3074840989,0.25404,1
0.308565956,0.259638,1
0.3085672345,0.259645,1
0.3091967175,0.262918,1
0.3091967574,0.262918,1
0.3092785319,0.263342,1
0.3093603863,0.263767,1
0.3106053168,0.270294,1
0.310605956,0.270298,1
0.3112366975,0.273624,1
0.3112367175,0.273624,1
0.3112776042,0.273839,1
0.3113185309,0.274054,1
0.311891505,0.277083,1
0.3126449971,0.281103,1
0.3126497915,0.281128,1
0.3132766875,0.28448,1
0.3132768374,0.284481,1
0.3132971406,0.284589,1
0.3136040875,0.286229,1
0.3146848373,0.292059,1
0.3146872346,0.292072,1
0.3150119788,0.293832,1
0.3153167574,0.295483,1
0.315326909,0.295538,1
0.3154803807,0.296368,1
0.3167247574,0.303161,1
0.316725956,0.303167,1
0.3168883299,0.304058,1
0.3173567175,0.306629,1
0.3173617932,0.306657,1
0.3174385282,0.307077,1
0.3180114832,0.310226,1
0.3187647175,0.314404,1
0.3187697917,0.314432,1
0.3188465046,0.314859,1
0.3193968374,0.317916,1
0.3193992353,0.317929,1
0.3197240769,0.319732,1
0.3208046975,0.325786,1
0.3208072346,0.3258,1
0.3208455915,0.326016,1
0.3214367574,0.32934,1
0.3214379564,0.329347,1
0.3216003755,0.330258,1
0.3228446875,0.337304,1
0.3228459561,0.337311,1
0.3228651347,0.33742,1
0.3234767175,0.340899,1
0.3234773169,0.340902,1
0.3235585257,0.341363,1
0.3241314627,0.344627,1
0.324786248,0.348389,1
0.3248897919,0.348984,1
0.3248949062,0.349013,1
0.3255168374,0.352591,1
0.3255169972,0.352592,1
0.3258440668,0.354471,1
0.3261714562,0.356369,1
0.3269272347,0.36075,1
0.3269297919,0.360765,1
0.3275567574,0.364411,1
0.3275568374,0.364412,1
0.3277203706,0.365361,1
0.3278840636,0.366319,1
0.3289659561,0.372651,1
0.3289672347,0.372658,1
0.3295967175,0.376358,1
0.3295967574,0.376359,1
0.3296785233,0.376838,1
0.329760369,0.37732,1
0.3302514435,0.380209,1
0.3310059561,0.384684,1
0.331009792,0.384707,1
0.3316367175,0.38843,1
0.3316368374,0.388431,1
0.3317185225,0.388915,1
0.3319640574,0.390371,1
0.3330453168,0.396836,1
0.3330472348,0.396848,1
0.3336766975,0.400623,1
0.3336767574,0.400623,1
0.3337175996,0.400867,1
0.3338403659,0.401602,1
0.3350849972,0.40911,1
0.3350859562,0.409115,1
0.3357166875,0.412935,1
